id,content,status,createdAt,updatedAt,rfqId,rfqQuotesUserId,userId,roomId,orderProductId
1,"Hi, I need a bulk order of iPads and Dell laptops for our company.",UNREAD,2026-04-02 17:44:28.377,2026-04-02 17:44:28.377,5,,5,2,
3,Can you do 400 OMR for the iPads? We are ordering 10 units.,UNREAD,2026-04-02 17:54:28.383,2026-04-02 17:54:28.383,5,,5,2,
5,Deal! Please send the updated quote.,UNREAD,2026-04-02 18:14:28.388,2026-04-02 18:14:28.388,5,,5,2,
7,When can you deliver?,UNREAD,2026-04-02 18:34:28.392,2026-04-02 18:34:28.392,5,,5,2,
9,Is the Samsung Galaxy S24 available in blue color?,UNREAD,2026-04-02 16:44:28.401,2026-04-02 16:44:28.401,,,5,3,
10,"Yes! We have Blue, Black, and Violet in stock.",UNREAD,2026-04-02 16:49:28.404,2026-04-02 16:49:28.404,,,6,3,
11,What warranty do you offer?,UNREAD,2026-04-02 17:04:28.406,2026-04-02 17:04:28.406,,,5,3,
12,1 year manufacturer warranty + 6 months extended from us.,UNREAD,2026-04-02 17:14:28.408,2026-04-02 17:14:28.408,,,6,3,
13,"Great, I will place the order today.",UNREAD,2026-04-02 17:44:28.41,2026-04-02 17:44:28.41,,,5,3,
14,I need 5 Sony WH-1000XM5 for a studio project.,UNREAD,2026-04-02 15:24:28.418,2026-04-02 15:24:28.418,6,,7,4,
15,Sure! I can offer 140 OMR each for 5 units.,UNREAD,2026-04-02 15:34:28.42,2026-04-02 15:34:28.42,6,,6,4,
16,Can you include carrying cases?,UNREAD,2026-04-02 15:44:28.423,2026-04-02 15:44:28.423,6,,7,4,
17,"Yes, we include premium cases with bulk orders.",UNREAD,2026-04-02 15:54:28.425,2026-04-02 15:54:28.425,6,,6,4,
2,Hello! I can offer 10 iPads at 450 OMR each and 10 Dell XPS at 650 OMR each.,READ,2026-04-02 17:49:28.381,2026-04-02 18:56:57.605,5,,6,2,
4,I can do 420 OMR per unit for 10+ orders. Best price I can offer.,READ,2026-04-02 17:59:28.386,2026-04-02 18:56:57.605,5,,6,2,
6,"Updated quote sent. Total: 10,700 OMR for 10 iPads + 10 Dell XPS.",READ,2026-04-02 18:24:28.39,2026-04-02 18:56:57.605,5,,6,2,
8,Delivery within 5-7 business days to Muscat.,READ,2026-04-02 18:39:28.395,2026-04-02 18:56:57.605,5,,6,2,
18,"Hi, I need 10 iPads",UNREAD,2026-04-03 21:30:20.349,2026-04-03 21:30:20.349,1,,5,5,
19,"Hi seller, need 10 iPads!",UNREAD,2026-04-03 21:32:41.921,2026-04-03 21:32:41.921,1,,5,6,
21,Deal! Send updated quote.,UNREAD,2026-04-03 21:32:41.954,2026-04-03 21:32:41.954,1,,5,6,
20,420 OMR each for 10+. Best deal!,READ,2026-04-03 21:32:41.938,2026-04-03 21:32:42.007,1,,6,6,
22,"Hello seller, need 10 iPads",UNREAD,2026-04-03 21:42:47.686,2026-04-03 21:42:47.686,1,,5,7,
